rank_by_auc,run_name,model_type,relation_mode,max_users,use_graph_encoder,use_temporal_encoder,use_prerequisite_edges,auc,accuracy,f1,bce_loss,run_dir,config_path
50,ednet1k_thgkt_no_temporal_seed05,thgkt,transition,1000,True,False,True,0.7181348455421624,0.7121032297164213,0.8002032840895151,0.5759200445287544,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_thgkt_no_temporal_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_thgkt_no_temporal_seed05_cuda.json
51,ednet1k_sakt_baseline_seed08,sakt_baseline,transition,1000,,,,0.7013316640848238,0.7134920835332441,0.8117096485114009,0.5694772610342104,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed08,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed08_cuda.json
52,ednet1k_sakt_baseline_seed07,sakt_baseline,transition,1000,,,,0.6996141712635634,0.7142243882730234,0.8107113586565642,0.5714713740370327,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed07,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed07_cuda.json
53,ednet1k_sakt_baseline_seed05,sakt_baseline,transition,1000,,,,0.6991202812348578,0.7153607232140603,0.8163870337188467,0.5703086901120308,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed05,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed05_cuda.json
54,ednet1k_sakt_baseline_seed02,sakt_baseline,transition,1000,,,,0.697103645019196,0.7133658240953511,0.8171169864823496,0.5734475683137006,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed02,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed02_cuda.json
55,ednet1k_sakt_baseline_seed01,sakt_baseline,transition,1000,,,,0.6954469547708407,0.712936542006515,0.8109178004723728,0.5730292425122112,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed01,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed01_cuda.json
56,ednet1k_sakt_baseline_seed10,sakt_baseline,transition,1000,,,,0.6954394765515565,0.7106891240120199,0.8070529985348356,0.5739613131759501,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed10,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed10_cuda.json
57,ednet1k_sakt_baseline_seed04,sakt_baseline,transition,1000,,,,0.6953487611015146,0.7118002070654782,0.8180470306895178,0.5755534966187412,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed04,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed04_cuda.json
58,ednet1k_sakt_baseline_seed06,sakt_baseline,transition,1000,,,,0.694926404027628,0.7127092750183076,0.815101331036388,0.5724988007361913,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed06,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed06_cuda.json
59,ednet1k_sakt_baseline_seed03,sakt_baseline,transition,1000,,,,0.6932772066215903,0.7091740107573041,0.8166579110750274,0.5787243225820322,D:\.Dev\.UNJOClasses\ML\Final Project\artifacts\ednet_1k_seed_suite\ednet1k_sakt_baseline_seed03,artifacts\ednet_1k_seed_suite\resolved_configs\ednet1k_sakt_baseline_seed03_cuda.json
